GSM4556603,GSM4556604,GSM4556605,GSM4556606,GSM4556607,GSM4556608,GSM4556609,GSM4556610,GSM4556611,GSM4556612,GSM4556613,GSM4556614,GSM4556615,GSM4556616,GSM4556617,GSM4556618,GSM4556619,GSM4556620,GSM4556621,GSM4556622,GSM4556623,GSM4556624,GSM4556625,GSM4556626,GSM4556627,GSM4556628,GSM4556629,GSM4556630,GSM4556631,GSM4556632,GSM4556633,GSM4556634,GSM4556635,GSM4556636,GSM4556637,GSM4556638,GSM4556639,GSM4556640,GSM4556641,GSM4556642,GSM4556643,GSM4556644,GSM4556645,GSM4556646,GSM4556647,GSM4556648,GSM4556649,GSM4556650,GSM4556651,GSM4556652,GSM4556653,GSM4556654,GSM4556655,GSM4556656,GSM4556657,GSM4556658,GSM4556659,GSM4556660,GSM4556661,GSM4556662,GSM4556663,GSM4556664,GSM4556665,GSM4556666,GSM4556667,GSM4556668,GSM4556669,GSM4556670,GSM4556671,GSM4556672,GSM4556673,GSM4556674,GSM4556675,GSM4556676,GSM4556677,GSM4556678,GSM4556679,GSM4556680,GSM4556681,GSM4556682,GSM4556683,GSM4556684,GSM4556685
4.73026424,3.76819819,3.01602452,1.93582275,0.62038029,2.21290366,1.28448137,2.37496931,2.28400447,0.53925632,2.2750198,2.54256752,1.48478286,2.01407696,0.60379418,0.18403042,1.46644812,1.84126729,2.95576213,0.07336155,3.36046339,0.9297229,0.20430175,2.17210699,1.58158982,-0.18436407,1.69313158,0.57968831,2.57760569,1.61980405,1.63979413,2.68099633,1.38087434,2.30961584,1.08599195,2.29109044,0.68979037,1.50767307,2.10948913,3.08149081,2.30559676,4.31440834,2.17599345,2.61380282,2.06897269,2.35188436,2.74007489,4.41586446,3.93845044,1.20176773,2.51674052,3.74346057,0.90960063,2.72209591,1.81334667,1.5101524,1.88406123,2.63073733,2.18874451,1.44784136,2.21875105,3.00521708,0.74938294,-0.45058112,1.88758437,1.62135971,1.60065896,2.31053499,1.46165299,1.10704176,0.95366115,2.68648499,0.77919134,1.9119298,3.19054981,0.64366079,1.83291201,1.86783187,0.88893687,1.34599578,1.90700369,3.20431677,2.67768198
5.1051986,3.7681982,2.1644657,3.1105339,2.7838449,2.2129037,1.2844814,2.3749693,2.2840045,0.5392563,2.2750198,2.5425675,1.4847829,2.014077,0.6037942,0.6281901,1.4664481,2.2230946,2.9557621,1.0535108,3.3604634,1.9529823,2.8217078,2.172107,1.5251531,2.6033972,1.6931316,1.2479589,2.0835002,1.9468183,1.6397941,2.6809963,1.5687073,2.3096158,1.085992,2.2910904,0.6897904,2.1912861,2.1094891,3.0814908,2.6247044,4.3894093,2.1759934,2.6138028,2.0689727,2.3518844,3.1501385,4.0988714,3.9384504,2.4749103,2.5167405,3.7434606,2.3784186,2.7220959,2.8998031,1.5101524,2.7126886,2.6307373,2.1887445,1.4478414,2.2187511,3.0052171,2.3442521,0.2015078,3.2867262,2.8745799,3.2394363,2.310535,3.1857047,2.9858645,0.9536611,1.2875343,2.2119362,3.2701608,3.1905498,0.6436608,1.9514754,1.8678319,1.2823588,1.3459958,1.9070037,3.2043168,3.3983302
4.73026424,3.76819819,2.16446567,2.8677919,0.62038029,2.21290366,1.28448137,2.37496931,2.28400447,0.53925632,2.2750198,2.54256752,1.48478286,2.01407696,0.60379418,0.18403042,1.46644812,1.84126729,2.95576213,0.07336155,3.36046339,0.9297229,0.20430175,2.17210699,0.07172296,-0.18436407,1.69313158,0.57968831,2.08350019,1.61980405,1.63979413,3.12697474,1.38087434,2.30961584,1.08599195,2.29109044,0.68979037,1.50767307,2.10948913,3.08149081,2.30559676,3.34900564,2.17599345,2.71621546,2.06897269,2.35188436,2.18079198,3.40837524,3.93845044,1.20176773,2.51674052,3.74346057,0.90960063,2.72209591,3.33495105,1.5101524,1.88406123,2.63073733,2.62449937,1.44784136,2.21875105,3.00521708,0.74938294,-0.45058112,1.88758437,1.62135971,1.60065896,2.31053499,1.46165299,1.10704176,0.95366115,1.28753434,0.77919134,1.9119298,3.19054981,0.64366079,1.83291201,1.86783187,0.88893687,1.34599578,1.90700369,3.20431677,2.86396978
4.73026424,3.76819819,2.51237054,3.37351299,0.73842568,2.21290366,1.28448137,2.37496931,2.28400447,0.53925632,2.2750198,2.54256752,1.48478286,2.01407696,0.60379418,0.18403042,1.46644812,1.84126729,2.95576213,0.07336155,3.36046339,0.9297229,0.20430175,2.17210699,2.24381556,-0.18436407,1.69313158,0.57968831,2.28240585,1.61980405,2.48537309,2.68099633,1.38087434,2.93118142,1.08599195,2.29109044,0.68979037,1.50767307,2.10948913,3.08149081,2.30559676,3.16281153,3.58221748,2.61380282,2.58268638,2.35188436,2.18079198,3.39816491,3.93845044,1.20176773,2.86741722,3.74346057,0.90960063,2.72209591,2.25969238,1.5101524,1.88406123,2.63073733,2.18874451,1.44784136,2.21875105,3.00521708,0.74938294,-0.45058112,1.88758437,1.62135971,1.60065896,2.31053499,1.46165299,1.10704176,0.95366115,1.28753434,0.77919134,1.9119298,3.92302164,0.64366079,1.83291201,1.86783187,0.88893687,1.34599578,2.01300594,3.20431677,2.01761221
5.1830429,3.7681982,2.1644657,2.2992425,1.5977274,2.2129037,1.2844814,2.3749693,2.2840045,0.5392563,2.2750198,2.5425675,4.6315204,2.014077,0.6037942,1.285367,1.4664481,1.8412673,2.9557621,0.3551867,3.3604634,0.9297229,0.2043018,2.172107,0.171723,0.592451,2.2616539,0.5796883,2.0835002,1.6198041,1.6397941,2.6809963,1.3808743,2.3096158,1.3493304,2.2910904,0.6897904,1.5076731,2.1094891,3.0814908,2.3055968,2.1798494,2.1759934,2.6138028,2.0689727,2.3518844,2.180792,3.1479747,3.9384504,1.2017677,2.5167405,3.7434606,0.9096006,2.7220959,1.8133467,1.5101524,1.8840612,2.6307373,2.7891336,1.4478414,2.2187511,3.0052171,0.7493829,-0.4505811,2.6865626,1.6213597,2.1266201,2.310535,1.461653,1.1070418,0.9536611,1.2875343,3.7994622,1.9119298,3.1905498,0.6436608,1.832912,1.8678319,0.8889369,1.3459958,1.9070037,3.2043168,2.9201755
5.03152978,3.76819819,3.35467058,1.93582275,0.62038029,2.21290366,1.28448137,2.37496931,2.28400447,0.53925632,2.2750198,2.54256752,1.48478286,2.01407696,0.60379418,0.18403042,1.46644812,2.5007794,2.95576213,0.07336155,3.36046339,0.9297229,0.20430175,2.17210699,2.02672921,-0.18436407,2.82554071,0.57968831,2.08350019,1.61980405,1.63979413,2.68099633,1.38087434,2.30961584,1.08599195,2.29109044,0.68979037,1.50767307,2.10948913,3.08149081,2.30559676,3.25128094,2.17599345,2.61380282,2.06897269,3.27392914,2.18079198,2.07611528,3.93845044,1.20176773,2.51674052,3.74346057,0.90960063,2.72209591,1.81334667,1.5101524,2.05920671,2.63073733,2.18874451,1.44784136,2.21875105,3.00521708,0.74938294,-0.45058112,1.88758437,1.62135971,2.25236303,2.31053499,1.46165299,1.10704176,0.95366115,1.28753434,1.22404017,1.9119298,3.19054981,0.64366079,1.83291201,1.86783187,0.88893687,1.34599578,2.22950681,3.20431677,2.01761221
4.7302642,3.7681982,2.1644657,1.9358227,0.6203803,2.2129037,1.2844814,2.3749693,2.2840045,0.5392563,2.2750198,2.5425675,1.4847829,2.014077,0.6037942,0.7387795,1.4664481,1.8412673,2.9557621,0.2928358,3.3604634,0.9297229,0.2043018,2.172107,0.6957007,-0.1843641,1.8499851,0.7924461,2.0835002,1.6198041,1.6397941,2.6809963,1.3808743,2.3096158,1.085992,2.2910904,0.6897904,1.5076731,2.1094891,3.0814908,2.6711061,3.8880253,2.1759934,2.6138028,2.0689727,2.3518844,2.180792,2.0761153,3.9384504,1.2017677,2.5167405,3.7434606,0.9096006,2.7220959,1.8133467,1.5101524,1.8840612,2.6307373,2.1887445,1.4478414,2.2187511,3.0052171,0.7493829,-0.4505811,1.8875844,1.6213597,2.7171786,2.310535,1.461653,1.6493721,2.0340398,1.2875343,1.5593043,3.0562303,3.1905498,0.6436608,1.832912,1.8678319,0.8889369,1.3459958,1.9070037,3.2043168,4.1028416
5.19364441,3.76819819,2.16446567,3.79170582,0.62038029,2.21290366,1.28448137,2.37496931,2.28400447,0.53925632,2.2750198,2.54256752,1.48478286,2.01407696,0.60379418,0.18403042,1.46644812,1.84126729,2.95576213,1.69005701,3.36046339,0.9297229,0.20430175,2.17210699,2.26190663,-0.18436407,1.69313158,0.57968831,3.41503419,1.61980405,1.63979413,2.68099633,1.38087434,2.30961584,1.08599195,2.29109044,0.68979037,1.50767307,2.10948913,3.08149081,2.30559676,6.12478327,2.17599345,2.61380282,2.85246094,2.35188436,2.18079198,2.07611528,3.93845044,1.20176773,2.51674052,3.74346057,0.90960063,2.72209591,1.81334667,1.5101524,1.88406123,3.01013995,2.18874451,1.44784136,2.21875105,3.55681908,1.94510222,-0.45058112,1.88758437,1.62135971,2.39690422,2.31053499,1.46165299,1.10704176,2.79192504,1.28753434,0.77919134,3.1134222,3.74178018,0.64366079,1.83291201,1.86783187,0.88893687,1.34599578,1.90700369,3.20431677,2.92346098
4.73026424,3.76819819,3.37863719,1.93582275,0.62038029,2.21290366,1.28448137,2.37496931,2.28400447,0.53925632,2.2750198,2.54256752,1.48478286,2.01407696,0.60379418,0.74498206,1.46644812,1.84126729,2.95576213,0.07336155,3.36046339,0.9297229,0.20430175,2.17210699,0.07172296,-0.18436407,1.69313158,0.95864422,2.08350019,1.61980405,1.63979413,3.58277928,1.61890671,2.30961584,1.08599195,2.29109044,0.8531855,1.50767307,2.10948913,3.08149081,2.30559676,4.75778078,3.61966541,2.61380282,2.06897269,2.35188436,2.18079198,3.0395461,3.93845044,1.20176773,2.51674052,3.74346057,0.90960063,2.72209591,1.81334667,1.5101524,1.88406123,2.63073733,2.18874451,1.44784136,2.21875105,3.00521708,0.74938294,-0.45058112,2.39853134,1.62135971,1.60065896,2.31053499,1.46165299,1.10704176,0.95366115,1.28753434,0.77919134,1.9119298,3.19054981,0.64366079,1.83291201,1.86783187,0.88893687,1.34599578,1.90700369,3.20431677,2.46040516
6.72316433,3.76819819,4.73204229,3.56526409,2.14420615,2.89804978,2.42816402,2.37496931,3.23343302,2.14355816,2.2750198,3.76564342,1.48478286,3.9073731,2.2517576,2.44926781,1.46644812,2.39136144,3.63558605,0.07336155,4.97439166,0.9297229,2.09010225,2.17210699,0.97040204,1.73469713,2.83901683,0.57968831,3.94289872,3.18259622,3.10746628,2.68099633,3.44013286,2.30961584,2.85808559,2.29109044,0.68979037,3.75900929,2.10948913,3.08149081,2.30559676,4.65191505,4.17568833,2.61380282,3.14721283,3.00443995,2.18079198,3.30690146,3.93845044,3.44490863,4.90483279,5.41978566,3.91308161,4.96205113,4.3159588,2.81665237,3.74378004,3.62972783,3.94524883,2.46288245,4.17040476,4.45462456,2.1063408,1.95531443,2.77655859,3.17181749,2.91751156,2.9120117,1.46165299,1.10704176,1.54708945,3.44076305,3.12105097,3.75295151,4.14506291,2.52211121,1.83291201,3.10124061,0.88893687,1.34599578,3.0667763,3.20431677,3.53508565
