GSM4556686,GSM4556687,GSM4556688,GSM4556689,GSM4556690,GSM4556691,GSM4556692,GSM4556693,GSM4556694,GSM4556695,GSM4556696,GSM4556697,GSM4556698,GSM4556699,GSM4556700,GSM4556701,GSM4556702,GSM4556703,GSM4556704,GSM4556705,GSM4556706,GSM4556707,GSM4556708,GSM4556709,GSM4556710,GSM4556711,GSM4556712,GSM4556713,GSM4556714,GSM4556715,GSM4556716,GSM4556717,GSM4556718,GSM4556719,GSM4556720,GSM4556721,GSM4556722,GSM4556723,GSM4556724,GSM4556725,GSM4556726,GSM4556727,GSM4556728,GSM4556729,GSM4556730,GSM4556731,GSM4556732,GSM4556733,GSM4556734,GSM4556735,GSM4556736,GSM4556737,GSM4556738,GSM4556739,GSM4556740,GSM4556741,GSM4556742,GSM4556743,GSM4556744,GSM4556745,GSM4556746,GSM4556747,GSM4556748,GSM4556749,GSM4556750,GSM4556751,GSM4556752,GSM4556753,GSM4556754,GSM4556755,GSM4556756,GSM4556757,GSM4556758,GSM4556759,GSM4556760,GSM4556761,GSM4556762,GSM4556763,GSM4556764,GSM4556765,GSM4556766,GSM4556767,GSM4556768,GSM4556769,GSM4556770,GSM4556771,GSM4556772,GSM4556773,GSM4556774,GSM4556775,GSM4556776,GSM4556777,GSM4556778,GSM4556779,GSM4556780,GSM4556781,GSM4556782,GSM4556783,GSM4556784,GSM4556785,GSM4556786,GSM4556787,GSM4556788,GSM4556789,GSM4556790,GSM4556791,GSM4556792,GSM4556793,GSM4556794,GSM4556795,GSM4556796,GSM4556797,GSM4556798,GSM4556799
2.19869142,4.3752224,2.64574637,1.63135174,0.9792411,3.07186037,1.94349539,0.69185887,3.32919406,3.96405278,1.99790848,1.74994907,1.61953728,2.16095751,1.85257301,0.26660627,1.33593513,0.37031187,1.77169405,2.14101389,1.73481339,-1.0409817,2.6717974,2.47765157,1.53128268,4.3659642,-0.70651267,1.62448908,1.56538795,-0.24907453,0.66299511,4.01649267,1.74790658,1.18985418,-0.63113567,2.04924404,2.36232675,1.35763977,1.73219235,1.3431025,0.46602852,1.63816382,3.1910114,1.15608481,0.21326257,1.73892723,2.68015188,2.96047279,2.8281357,2.62161536,1.76017197,2.19169097,1.30114877,1.98055771,2.86093742,2.65886918,4.08157483,2.9145231,3.6838774,2.963467,3.66408153,2.04634524,3.49275131,3.75084099,4.23847894,6.26291623,1.0798463,3.20010399,1.66004492,2.38264923,1.25728687,1.71338937,4.04282382,2.4503019,1.92244354,4.63347979,3.00834035,1.04827529,2.57850476,0.58079443,2.99968685,2.21972684,1.37837012,2.1741843,1.70996929,-0.20281874,0.78545963,2.17748292,2.00585189,1.04239159,1.74922411,2.49633046,1.7098947,4.04277021,3.50592326,2.2987779,0.17514552,1.29278969,-0.72580891,-0.215263,1.46429538,-0.39478136,1.27383483,3.31480843,0.51760631,1.60586887,1.83709023,1.42140782,3.10383159,2.55285268,2.99432162,1.86632327,2.87325262,3.2628723
2.1986914,2.1977486,2.6457464,2.6408639,3.1321172,3.0718604,1.9434954,0.6918589,3.3291941,3.9640528,2.803374,1.7499491,2.6474674,2.1609575,1.852573,2.3709222,2.6057861,2.2301261,2.8753109,2.1410139,1.7348134,-0.5735415,2.6717974,2.4776516,1.5312827,4.3659642,0.1770422,1.6244891,1.565388,2.6903783,1.264937,4.0164927,1.7479066,1.1898542,-0.6311357,2.049244,2.3623267,1.8912367,1.7321924,1.3431025,0.7668332,1.6381638,3.1910114,1.1560848,0.6354378,2.6957554,3.2069977,2.9604728,2.8281357,2.6216154,1.760172,2.191691,1.3011488,1.9805577,3.8585697,2.6588692,3.382986,2.9145231,3.6838774,2.963467,3.6640815,3.1716264,4.0989095,4.2499516,2.7184121,6.1231226,1.0798463,3.200104,1.6600449,2.3826492,1.2572869,1.7133894,4.5635834,2.4503019,2.4764189,4.6334798,3.0083403,1.6893166,3.1137421,1.6469118,2.9996868,2.2197268,2.6408568,2.8053365,1.5416792,0.2178796,2.0553527,2.1774829,2.0058519,1.0423916,1.7492241,2.4963305,1.7098947,4.0427702,3.5059233,2.2987779,0.1751455,0.8171771,1.6044786,2.0475139,1.4642954,1.7148607,1.6763174,3.3148084,0.5176063,1.6058689,2.7845395,1.4214078,2.639453,3.9854204,2.5806832,1.3159196,2.2502101,3.2628723
2.19869142,1.64740043,2.64574637,1.63135174,0.9792411,3.07186037,1.94349539,0.69185887,3.32919406,3.96405278,3.36776899,1.74994907,1.61953728,2.16095751,2.48732093,0.26660627,1.95393601,0.92190628,2.28769286,2.14101389,1.73481339,-1.0409817,2.6717974,2.47765157,1.53128268,4.3659642,-0.70651267,1.62448908,1.56538795,1.90068669,0.66299511,4.01649267,3.46348416,2.48991462,0.40509001,2.04924404,2.36232675,1.35763977,1.73219235,1.3431025,0.46602852,1.63816382,3.1910114,1.15608481,0.21326257,1.73892723,1.76828267,2.96047279,2.8281357,2.62161536,1.76017197,2.19169097,1.30114877,1.98055771,2.86093742,2.65886918,1.78104508,3.94481904,3.6838774,2.963467,3.66408153,2.04634524,3.07836848,4.35600899,2.28831564,5.5980574,1.0798463,4.01179631,1.66004492,2.38264923,1.25728687,1.71338937,3.74312867,2.4503019,1.92244354,4.63347979,3.00834035,1.04827529,2.57850476,0.58079443,2.99968685,2.21972684,2.46406726,2.1741843,1.54167921,-0.20281874,3.91499171,2.17748292,2.00585189,1.04239159,1.74922411,2.49633046,1.7098947,4.04277021,3.50592326,2.2987779,0.17514552,0.81717708,0.16204241,-0.215263,1.46429538,-0.39478136,1.27383483,3.31480843,0.51760631,1.60586887,4.06838361,1.42140782,2.63945304,2.55285268,2.58068319,1.31591956,2.38843831,3.2628723
2.19869142,1.91393499,2.64574637,1.63135174,1.73885744,3.07186037,1.94349539,0.69185887,3.32919406,3.96405278,4.53465716,1.74994907,1.61953728,2.16095751,1.85257301,0.26660627,1.33593513,1.11919619,2.86023168,2.14101389,1.73481339,-1.0409817,2.6717974,2.47765157,1.53128268,4.3659642,-0.70651267,1.62448908,1.56538795,-0.24907453,0.66299511,4.01649267,1.74790658,1.18985418,0.01662297,2.04924404,2.36232675,1.35763977,1.73219235,1.3431025,0.46602852,1.63816382,3.1910114,1.15608481,0.21326257,1.73892723,1.76828267,2.96047279,2.8281357,2.62161536,1.76017197,2.19169097,1.30114877,1.98055771,2.86093742,2.65886918,4.27189177,4.07043556,3.6838774,2.963467,3.66408153,2.04634524,3.38893788,3.31835077,2.28831564,5.41546796,1.0798463,3.20010399,1.66004492,2.38264923,1.25728687,1.82164902,3.74312867,2.4503019,1.92244354,4.63347979,3.00834035,1.04827529,2.57850476,0.58079443,2.99968685,2.21972684,1.89575403,2.1741843,1.54167921,-0.20281874,3.80500121,2.17748292,2.00585189,1.04239159,1.74922411,2.49633046,1.7098947,4.04277021,4.39199611,2.2987779,0.17514552,0.81717708,-0.72580891,-0.215263,1.78272218,-0.39478136,1.27383483,3.31480843,0.51760631,1.60586887,3.47910304,1.42140782,2.63945304,2.69876981,2.58068319,1.53586727,2.25021007,3.2628723
2.1986914,1.4397866,2.6457464,1.6313517,1.7443947,3.0718604,1.9434954,0.6918589,3.3291941,3.9640528,1.9979085,1.7499491,1.6195373,2.1609575,1.9787607,0.2666063,3.1558917,0.4703119,0.7437172,2.1410139,1.7348134,0.7769245,2.6717974,2.4776516,1.5312827,4.3659642,-0.7065127,1.6244891,1.565388,-0.2490745,0.6629951,4.0164927,1.7479066,1.1898542,0.257671,2.049244,2.3623267,1.3576398,1.7321924,1.3431025,0.4660285,1.6381638,3.1910114,1.1560848,1.4452183,1.7389272,1.7682827,2.9604728,2.8281357,2.6216154,1.760172,2.191691,1.3011488,1.9805577,2.8609374,2.6588692,1.7810451,3.0145231,3.6838774,2.963467,3.6640815,2.0463452,2.6259394,3.3183508,2.2883156,4.261854,1.0798463,3.200104,2.4963113,2.3826492,1.2572869,1.9932016,3.7431287,2.4503019,1.9224435,4.6334798,3.0083403,1.0482753,2.5785048,0.5807944,2.9996868,2.2197268,4.8910143,2.4915877,1.5416792,1.2284111,0.7854596,2.1774829,2.0058519,1.0423916,1.7492241,2.4963305,1.7098947,4.0427702,3.5059233,2.2987779,0.1751455,0.8171771,1.5003061,-0.215263,1.6392685,-0.3947814,1.2738348,3.3148084,0.5176063,1.6058689,1.8370902,1.4214078,2.639453,2.5528527,2.5806832,2.4436838,2.2502101,3.4910955
2.19869142,-0.40851996,2.64574637,1.63135174,0.9792411,3.07186037,1.94349539,0.69185887,3.32919406,3.96405278,1.99790848,1.74994907,1.61953728,2.16095751,1.85257301,0.26660627,1.33593513,0.37031187,0.74371717,2.14101389,1.73481339,-1.0409817,2.6717974,2.47765157,1.53128268,4.3659642,-0.70651267,1.62448908,1.56538795,-0.24907453,0.66299511,4.01649267,1.74790658,1.18985418,-0.63113567,2.04924404,2.36232675,1.35763977,1.73219235,1.3431025,0.46602852,1.63816382,3.1910114,1.15608481,1.13413074,1.73892723,1.76828267,2.96047279,2.8281357,2.62161536,1.76017197,2.19169097,1.30114877,1.98055771,2.86093742,2.65886918,1.78104508,3.50196298,3.6838774,2.963467,3.66408153,2.04634524,2.62593941,3.31835077,2.28831564,4.88354211,1.0798463,3.20010399,1.66004492,2.38264923,1.25728687,1.71338937,3.74312867,2.4503019,1.92244354,4.63347979,3.00834035,1.04827529,2.57850476,0.58079443,2.99968685,2.21972684,2.70838761,2.1741843,1.54167921,-0.07341851,0.78545963,2.17748292,2.00585189,1.04239159,1.74922411,2.49633046,1.7098947,4.04277021,3.50592326,2.2987779,0.17514552,0.81717708,-0.72580891,-0.215263,2.23240968,-0.39478136,1.27383483,3.31480843,0.51760631,1.60586887,1.83709023,1.42140782,2.63945304,2.55285268,2.58068319,1.31591956,2.25021007,3.2628723
2.1986914,0.4218658,2.6457464,1.6313517,1.2411821,3.0718604,1.9434954,0.6918589,3.3291941,4.1779731,1.9979085,2.9198691,1.6195373,2.1609575,1.852573,0.2666063,1.4996118,0.8534579,0.7437172,2.8615453,1.7348134,-1.0409817,2.6717974,2.4776516,1.5312827,4.3659642,-0.7065127,1.6244891,1.565388,-0.2490745,0.6629951,4.0164927,1.7479066,1.1898542,1.0234361,2.049244,2.3623267,1.3576398,1.7321924,1.3431025,0.4660285,1.6381638,3.1910114,1.1560848,0.2132626,1.7389272,2.5926058,2.9604728,2.8281357,2.6216154,1.760172,2.191691,1.3011488,1.9805577,2.8609374,2.6588692,4.8362682,2.9145231,3.6838774,2.963467,3.6640815,2.0463452,2.9482534,3.3183508,3.4872042,5.6267899,1.0798463,3.200104,1.6600449,2.3826492,1.2572869,2.159419,3.7431287,2.4503019,1.9224435,4.6334798,3.0083403,1.0482753,2.7861902,0.5807944,3.1033393,2.2197268,1.0669217,2.1741843,1.5416792,-0.2028187,0.7854596,2.1774829,2.4116624,1.0423916,1.7492241,3.0654143,1.7098947,4.0427702,3.5059233,2.2987779,0.1751455,0.8171771,1.7711657,-0.215263,2.5750053,-0.3947814,1.2738348,3.3148084,0.5176063,1.6058689,1.8370902,1.4214078,2.639453,2.5528527,2.5806832,3.7814746,2.2502101,3.7351214
2.19869142,2.6000483,2.64574637,1.63135174,1.83619032,3.07186037,1.94349539,0.69185887,3.32919406,3.96405278,1.99790848,1.74994907,1.61953728,2.16095751,2.16702325,0.26660627,1.50224923,0.37031187,2.90304884,2.28674684,2.70580279,0.23932716,2.6717974,2.47765157,1.53128268,4.3659642,-0.70651267,1.62448908,1.56538795,0.06578863,0.66299511,4.01649267,1.74790658,2.33011458,0.36000326,2.04924404,2.36232675,1.35763977,2.48560176,1.3431025,0.46602852,1.63816382,3.1910114,1.15608481,0.21326257,1.73892723,3.02064398,2.96047279,4.29918992,2.62161536,1.76017197,2.19169097,3.52117188,1.98055771,2.86093742,2.65886918,6.74188702,2.9145231,3.6838774,2.963467,3.66408153,4.45148448,3.8654697,5.12576413,3.63010737,7.79774932,1.0798463,3.20010399,1.66004492,2.38264923,1.25728687,2.84728184,3.74312867,2.4503019,2.1019011,4.63347979,3.00834035,2.12110702,2.57850476,1.19296332,2.99968685,2.21972684,1.06692166,2.1741843,1.54167921,-0.20281874,1.30645025,2.38513149,2.60769825,1.04239159,1.74922411,2.49633046,1.7098947,4.04277021,3.50592326,2.2987779,1.07695204,1.23966348,1.81530316,-0.215263,3.20260411,-0.39478136,1.27383483,3.31480843,0.51760631,1.60586887,1.83709023,1.42140782,2.63945304,2.55285268,2.58068319,1.86687285,2.89815155,3.93996749
2.19869142,1.25165895,2.64574637,1.63135174,2.83738897,3.07186037,1.94349539,0.69185887,3.32919406,3.96405278,1.99790848,1.74994907,1.61953728,2.16095751,1.85257301,0.26660627,1.33593513,1.12509709,2.46854996,2.14101389,1.73481339,1.03910674,2.6717974,2.47765157,1.53128268,4.3659642,-0.70651267,1.62448908,1.56538795,-0.24907453,0.66299511,4.01649267,1.74790658,1.18985418,1.73077678,2.04924404,2.36232675,1.35763977,2.48247462,1.3431025,0.46602852,1.63816382,3.1910114,1.15608481,1.29586309,1.73892723,2.8425321,2.96047279,2.8281357,2.62161536,1.76017197,2.19169097,2.9210144,1.98055771,2.86093742,3.08583416,5.51464274,2.9145231,3.6838774,2.963467,3.66408153,3.23892675,4.2739293,4.59294887,2.60650513,6.02143951,2.11113112,3.20010399,1.66004492,2.52120034,2.57931645,1.84373358,3.74312867,2.4503019,1.92244354,4.63347979,3.00834035,1.04827529,2.57850476,0.58079443,2.99968685,2.21972684,2.6288702,2.1741843,1.54167921,-0.20281874,0.78545963,2.17748292,2.00585189,1.04239159,1.74922411,2.49633046,1.7098947,4.04277021,4.85602771,2.2987779,0.17514552,1.21544762,0.32272794,0.30167279,1.46429538,-0.39478136,1.27383483,3.31480843,0.51760631,1.60586887,1.83709023,1.42140782,2.63945304,2.55285268,2.58068319,2.52822115,3.29826768,3.2628723
3.89852994,4.17386294,4.09078076,1.63135174,3.57604446,3.07186037,2.78214181,1.89077689,3.47472194,4.63572909,3.34831023,3.23470775,1.96571928,3.1575177,3.4606723,0.26660627,4.39295941,2.42381686,1.93842937,2.80290125,3.73168867,1.9523225,3.84069102,2.82904788,2.87850662,4.3659642,-0.70651267,1.62448908,1.89135388,3.5630939,2.31822193,4.01649267,1.74790658,1.32751121,2.21656407,2.04924404,2.36232675,1.35763977,2.33869397,1.3431025,0.46602852,2.8072108,3.81408872,2.68930502,1.19980697,2.79475774,3.9475693,2.96047279,2.8281357,2.62161536,1.76017197,2.19169097,1.30114877,1.98055771,3.14080262,3.38798636,1.78104508,4.06881551,3.6838774,2.963467,3.66408153,4.08758894,4.51249888,4.05153798,2.28831564,3.68547123,1.0798463,3.20010399,1.66004492,2.38264923,2.00457118,2.82763428,3.74312867,2.4503019,2.52940081,5.161129,4.88722847,3.49909889,3.97250787,1.71596933,4.24655772,2.21972684,3.89123369,4.57877267,1.54167921,2.02594687,0.78545963,3.62688563,3.99177057,2.13795462,2.28869691,2.49633046,1.83418776,4.04277021,5.73839285,2.2987779,0.17514552,2.74618302,-0.72580891,0.29696153,4.74197802,-0.39478136,1.27383483,3.4666085,1.34901058,1.7468761,1.83709023,2.26573202,3.0779481,4.44148487,2.58068319,1.99423025,4.17817753,3.65568439
